t_s,num_ghosts,phase,px4_1_est_x,px4_1_est_y,px4_1_est_z,px4_1_gt_x,px4_1_gt_y,px4_1_gt_z,px4_1_error_m,px4_3_est_x,px4_3_est_y,px4_3_est_z,px4_3_gt_x,px4_3_gt_y,px4_3_gt_z,px4_3_error_m,px4_4_est_x,px4_4_est_y,px4_4_est_z,px4_4_gt_x,px4_4_gt_y,px4_4_gt_z,px4_4_error_m
7.164,3,attack,-0.0000,-0.1403,-0.4112,-0.0000,0.0000,-0.0130,0.4222,-0.0000,1.8309,-0.4210,-0.0000,2.0000,-0.0130,0.4416,-0.0000,2.8269,-0.4186,-0.0000,3.0000,-0.0130,0.4410
7.263,3,attack,-0.0000,-0.1422,-0.4159,-0.0000,0.0000,-0.0130,0.4273,-0.0000,1.8705,-0.4233,-0.0000,2.0000,-0.0130,0.4303,-0.0000,2.8036,-0.4174,-0.0000,3.0000,-0.0130,0.4496
7.365,3,attack,-0.0000,-0.1576,-0.4174,-0.0000,0.0000,-0.0130,0.4340,-0.0000,1.8458,-0.4206,-0.0000,2.0000,-0.0130,0.4358,-0.0000,2.8155,-0.4278,-0.0000,3.0000,-0.0130,0.4540
7.467,3,attack,-0.0000,-0.1827,-0.4258,-0.0000,0.0000,-0.0130,0.4514,-0.0000,1.7985,-0.4254,-0.0000,2.0000,-0.0130,0.4590,-0.0000,2.8037,-0.4292,-0.0000,3.0000,-0.0130,0.4601
7.564,3,attack,-0.0000,-0.1039,-0.4176,-0.0000,0.0000,-0.0130,0.4177,-0.0000,1.8281,-0.4271,-0.0000,2.0000,-0.0130,0.4484,-0.0000,2.8798,-0.4225,-0.0000,3.0000,-0.0130,0.4268
7.664,3,attack,-0.0000,-0.1320,-0.3964,-0.0000,0.0000,-0.0130,0.4055,-0.0000,1.8799,-0.4021,-0.0000,2.0000,-0.0130,0.4072,-0.0000,2.8807,-0.4181,-0.0000,3.0000,-0.0130,0.4223
7.763,3,attack,-0.0000,-0.1163,-0.4001,-0.0000,0.0000,-0.0130,0.4042,-0.0000,1.9171,-0.3893,-0.0000,2.0000,-0.0130,0.3853,-0.0000,2.9013,-0.3968,-0.0000,3.0000,-0.0130,0.3963
7.863,3,attack,-0.0000,-0.0706,-0.3636,-0.0000,0.0000,-0.0130,0.3577,-0.0000,1.9513,-0.3614,-0.0000,2.0000,-0.0130,0.3518,-0.0000,2.9261,-0.3740,-0.0000,3.0000,-0.0130,0.3685
7.965,3,attack,-0.0000,-0.0827,-0.3789,-0.0000,0.0000,-0.0130,0.3752,-0.0000,1.9700,-0.3795,-0.0000,2.0000,-0.0130,0.3677,-0.0000,2.9446,-0.3793,-0.0000,3.0000,-0.0130,0.3705
8.069,3,attack,-0.0000,-0.0415,-0.3882,-0.0000,0.0000,-0.0130,0.3774,-0.0000,1.9655,-0.3802,-0.0000,2.0000,-0.0130,0.3688,-0.0000,2.9269,-0.3799,-0.0000,3.0000,-0.0130,0.3741
8.163,3,attack,-0.0000,-0.0157,-0.3915,-0.0000,0.0000,-0.0130,0.3789,-0.0000,1.9419,-0.3807,-0.0000,2.0000,-0.0130,0.3722,-0.0000,2.9438,-0.3762,-0.0000,3.0000,-0.0130,0.3676
8.265,3,attack,-0.0000,-0.0442,-0.4036,-0.0000,0.0000,-0.0130,0.3931,-0.0000,1.9875,-0.3826,-0.0000,2.0000,-0.0130,0.3698,-0.0000,2.8862,-0.3980,-0.0000,3.0000,-0.0130,0.4014
8.363,3,attack,-0.0000,-0.0459,-0.3764,-0.0000,0.0000,-0.0130,0.3663,-0.0000,1.9758,-0.3787,-0.0000,2.0000,-0.0130,0.3665,-0.0000,2.9823,-0.3668,-0.0000,3.0000,-0.0130,0.3543
8.467,3,attack,-0.0000,-0.0353,-0.3756,-0.0000,0.0000,-0.0130,0.3643,-0.0000,1.9598,-0.3782,-0.0000,2.0000,-0.0130,0.3674,-0.0000,2.9112,-0.3899,-0.0000,3.0000,-0.0130,0.3872
8.569,3,attack,-0.0000,-0.0047,-0.3779,-0.0000,0.0000,-0.0130,0.3649,-0.0000,1.9710,-0.3812,-0.0000,2.0000,-0.0130,0.3694,-0.0000,2.9681,-0.3786,-0.0000,3.0000,-0.0130,0.3670
8.665,3,attack,-0.0000,0.0320,-0.3935,-0.0000,0.0000,-0.0130,0.3818,-0.0000,2.0579,-0.3899,-0.0000,2.0000,-0.0130,0.3813,-0.0000,3.0436,-0.3922,-0.0000,3.0000,-0.0130,0.3817
8.763,3,attack,-0.0000,0.0315,-0.3790,-0.0000,0.0000,-0.0130,0.3673,-0.0000,1.9706,-0.3877,-0.0000,2.0000,-0.0130,0.3759,-0.0000,3.0031,-0.3749,-0.0000,3.0000,-0.0130,0.3619
8.865,3,attack,-0.0000,0.0474,-0.3913,-0.0000,0.0000,-0.0130,0.3813,-0.0000,1.9769,-0.3879,-0.0000,2.0000,-0.0130,0.3756,-0.0000,2.9984,-0.3941,-0.0000,3.0000,-0.0130,0.3811
