timestamp,total_written_kb,write_rate_kb_s,dropouts,message_gaps,buffer_used_bytes,buffer_size_bytes,type,backend,is_logging,num_messages
1161592000,8874.208,8.549234,0,0,4040,1024000,0,3,1,194
1162592000,8882.674,8.549154,0,0,4040,1024000,0,3,1,194
1163592000,8891.098,8.549034,0,0,4040,1024000,0,3,1,194
1164592000,8899.563,8.548954,0,0,4029,1024000,0,3,1,194
1165592000,8907.987,8.548833,0,0,3904,1024000,0,3,1,194
1166592000,8917.189,8.54946,0,0,3150,1024000,0,3,1,194
1167592000,8925.603,8.54933,0,0,3161,1024000,0,3,1,194
1168592000,8934.068,8.54925,0,0,3161,1024000,0,3,1,194
1169592000,8942.492,8.5491295,0,0,3161,1024000,0,3,1,194
1170592000,8950.958,8.54905,0,0,3161,1024000,0,3,1,194
1171592000,8959.382,8.54893,0,0,3061,1024000,0,3,1,194
1172592000,8963.492,8.5447,0,0,7521,1024000,0,3,1,194
1173592000,8974.925,8.547449,0,0,4440,1024000,0,3,1,194
1174592000,8983.349,8.547332,0,0,4483,1024000,0,3,1,194
1175592000,8991.814,8.547255,0,0,4440,1024000,0,3,1,194
1176592000,9000.0,8.546911,0,0,4727,1024000,0,3,1,194
1177592000,9008.704,8.54706,0,0,4429,1024000,0,3,1,194
1178592000,9017.117,8.546934,0,0,4383,1024000,0,3,1,194
1179592000,9025.461,8.546741,0,0,4465,1024000,0,3,1,194
1180592000,9033.885,8.546625,0,0,4508,1024000,0,3,1,194
1181592000,9042.351,8.546548,0,0,4465,1024000,0,3,1,194
1182592000,9050.774,8.5464325,0,0,4508,1024000,0,3,1,194
1183592000,9059.24,8.546356,0,0,4465,1024000,0,3,1,194
1184592000,9067.664,8.546242,0,0,4508,1024000,0,3,1,194
1185592000,9076.13,8.5461645,0,0,4365,1024000,0,3,1,194
1186592000,9084.456,8.5459585,0,0,4508,1024000,0,3,1,194
1187592000,9092.922,8.545883,0,0,4465,1024000,0,3,1,194
1188592000,9101.346,8.545769,0,0,4508,1024000,0,3,1,194
1189592000,9109.812,8.545692,0,0,4465,1024000,0,3,1,194
1190592000,9118.235,8.54558,0,0,4497,1024000,0,3,1,194
1191592000,9126.69,8.545494,0,0,4440,1024000,0,3,1,194
1192592000,9135.114,8.545381,0,0,4383,1024000,0,3,1,194
1193592000,9143.482,8.545215,0,0,4440,1024000,0,3,1,194
1194592000,9151.906,8.545101,0,0,4483,1024000,0,3,1,194
1195592000,9160.372,8.545028,0,0,4440,1024000,0,3,1,194
1196592000,9168.796,8.544914,0,0,4483,1024000,0,3,1,194
1197592000,9177.262,8.544841,0,0,4440,1024000,0,3,1,194
1198592000,9185.686,8.544728,0,0,4483,1024000,0,3,1,194
1199592000,9194.151,8.544655,0,0,4320,1024000,0,3,1,194
1200592000,9202.458,8.544434,0,0,4483,1024000,0,3,1,194
1201592000,9210.924,8.544361,0,0,4440,1024000,0,3,1,194
1202592000,9219.348,8.54425,0,0,4483,1024000,0,3,1,194
1203592000,9227.813,8.544177,0,0,4429,1024000,0,3,1,194
1204592000,9236.227,8.544056,0,0,4483,1024000,0,3,1,194
1205592000,9244.668,8.543961,0,0,4365,1024000,0,3,1,194
1206592000,9252.994,8.543759,0,0,4508,1024000,0,3,1,194
1207592000,9261.46,8.543687,0,0,4465,1024000,0,3,1,194
1208592000,9269.884,8.543577,0,0,4508,1024000,0,3,1,194
1209592000,9278.35,8.543505,0,0,4465,1024000,0,3,1,194
1210592000,9286.773,8.543396,0,0,4508,1024000,0,3,1,194
1211592000,9295.239,8.5433235,0,0,4465,1024000,0,3,1,194
1212592000,9303.663,8.543214,0,0,4408,1024000,0,3,1,194
1213592000,9312.031,8.543054,0,0,4465,1024000,0,3,1,194
1214592000,9320.455,8.542945,0,0,4508,1024000,0,3,1,194
1215592000,9328.921,8.542873,0,0,4465,1024000,0,3,1,194
1216592000,9337.345,8.542766,0,0,4497,1024000,0,3,1,194
1217592000,9345.8,8.542685,0,0,4440,1024000,0,3,1,194
1218592000,9354.224,8.542577,0,0,4015,1024000,0,3,1,194
1219592000,9362.689,8.542505,0,0,3915,1024000,0,3,1,194
1220592000,9371.016,8.542309,0,0,4015,1024000,0,3,1,194
1221592000,9379.481,8.542239,0,0,4015,1024000,0,3,1,194
1222592000,9387.905,8.542131,0,0,4015,1024000,0,3,1,194
1223592000,9396.371,8.542063,0,0,4015,1024000,0,3,1,194
1224592000,9404.795,8.541955,0,0,4015,1024000,0,3,1,194
1225592000,9413.261,8.541885,0,0,3915,1024000,0,3,1,194
1226592000,9421.685,8.5417795,0,0,3915,1024000,0,3,1,194
1227592000,9430.053,8.541621,0,0,4015,1024000,0,3,1,194
1228592000,9439.311,8.542271,0,0,3161,1024000,0,3,1,194
1229592000,9447.776,8.5422,0,0,3150,1024000,0,3,1,194
1230592000,9456.2,8.542094,0,0,3150,1024000,0,3,1,194
1231592000,9464.666,8.542025,0,0,3150,1024000,0,3,1,194
1232592000,9473.09,8.541918,0,0,3050,1024000,0,3,1,194
1233592000,9481.255,8.541578,0,0,3358,1024000,0,3,1,194
1234592000,9489.847,8.541624,0,0,3186,1024000,0,3,1,194
1235592000,9498.3125,8.541555,0,0,3186,1024000,0,3,1,194
1236592000,9506.736,8.5414505,0,0,3186,1024000,0,3,1,194
1237592000,9515.202,8.541382,0,0,3186,1024000,0,3,1,194
1238592000,9523.364,8.541041,0,0,3454,1024000,0,3,1,194
1239592000,9532.092,8.541208,0,0,3086,1024000,0,3,1,194
1240592000,9540.516,8.541104,0,0,3086,1024000,0,3,1,194
1241592000,9549.55,8.541545,0,0,2504,1024000,0,3,1,194
1242592000,9557.876,8.541352,0,0,2593,1024000,0,3,1,194
1243592000,9566.342,8.5412855,0,0,2568,1024000,0,3,1,194
1244592000,9574.766,8.541181,0,0,2568,1024000,0,3,1,194
1245592000,9583.231,8.541113,0,0,2568,1024000,0,3,1,194
1246592000,9591.655,8.541009,0,0,2468,1024000,0,3,1,194
1247592000,9600.121,8.540941,0,0,2468,1024000,0,3,1,194
1248592000,9608.545,8.540838,0,0,2468,1024000,0,3,1,194
1249592000,9617.0,8.540762,0,0,2479,1024000,0,3,1,194
1250592000,9625.326,8.540572,0,0,2579,1024000,0,3,1,194
1251592000,9633.792,8.540504,0,0,2579,1024000,0,3,1,194
1252592000,9642.216,8.540401,0,0,2479,1024000,0,3,1,194
1253592000,9651.536,8.541091,0,0,1604,1024000,0,3,1,194
1254592000,9659.96,8.540989,0,0,1604,1024000,0,3,1,194
1255592000,9668.426,8.540921,0,0,1593,1024000,0,3,1,194
