timestamp,load,ram_usage
1548872000,0.1,0.26195168
1549372000,0.08,0.26190722
1549872000,0.1,0.2619835
1550372000,0.1,0.26203048
1550872000,0.1,0.26206177
1551372000,0.1,0.26210874
1551872000,0.08,0.26220194
1552372000,0.1,0.26235723
1552872000,0.1,0.26254484
1553372000,0.1,0.26262286
1553872000,0.1,0.26266983
1554372000,0.08,0.26274785
1554872000,0.08,0.26276276
1555372000,0.1,0.2628095
1555872000,0.1,0.26287186
1556372000,0.1,0.26291883
1556872000,0.1,0.26296306
1557372000,0.08,0.26304108
1557872000,0.1,0.26308805
1558372000,0.1,0.26313475
1558872000,0.1,0.26319712
1559372000,0.09259259,0.2645514
1559872000,0.1,0.26458246
1560372000,0.1,0.26464036
1560872000,0.1,0.26470274
1561372000,0.08,0.26476535
1561872000,0.1,0.26482773
1562372000,0.1,0.2648742
1562872000,0.1,0.26490104
1563372000,0.08,0.26496366
1563872000,0.1,0.26501063
1564372000,0.1,0.26505733
1564872000,0.1,0.26510257
1565372000,0.1,0.2651649
1565872000,0.1,0.2652566
1566372000,0.1,0.2652566
1566872000,0.08,0.26531774
1567372000,0.1,0.26536372
1567872000,0.1,0.2654256
1568372000,0.08,0.2654723
1568872000,0.1,0.26552448
1569372000,0.1,0.26558685
1569872000,0.1,0.26563358
1570372000,0.08,0.2656793
1570872000,0.08,0.26574168
1571372000,0.08,0.2657874
1571872000,0.1,0.26581845
1572372000,0.08,0.26589423
1572872000,0.1,0.26598495
1573372000,0.1,0.26617754
1573872000,0.1,0.26622447
1574372000,0.08,0.26628637
1574872000,0.1,0.26634848
1575372000,0.08,0.2664111
1575872000,0.1,0.26645607
1576372000,0.1,0.26651648
1576872000,0.1,0.26657882
1577372000,0.08,0.26662457
1577872000,0.1,0.26661438
1578372000,0.1,0.26667625
1578872000,0.1,0.26672247
1579372000,0.1,0.26676643
1579872000,0.1,0.2668288
1580372000,0.1,0.26688844
1580872000,0.1,0.26696473
1581372000,0.08,0.26691628
1581872000,0.1,0.26700127
1582372000,0.1,0.26706263
1582872000,0.08,0.26712477
1583372000,0.1,0.26729622
1583872000,0.1,0.26738146
1584372000,0.1,0.26744333
1584872000,0.1,0.26741153
1585372000,0.08,0.26744086
1585872000,0.1,0.2675017
1586372000,0.1,0.26751664
1586872000,0.1,0.26757753
1587372000,0.1,0.26759243
1587872000,0.1,0.26749426
1588372000,0.1,0.26760262
1588872000,0.1,0.2677112
1589372000,0.1,0.26778898
1589872000,0.1,0.26786527
1590372000,0.08,0.2679423
1590872000,0.1,0.26800293
1591372000,0.1,0.26804915
1591872000,0.1,0.2680956
1592372000,0.08,0.2680787
1592872000,0.1,0.2681411
1593372000,0.1,0.26820222
1593872000,0.1,0.26837045
1594372000,0.1,0.2682795
1594872000,0.1,0.2683252
1595372000,0.12,0.2683876
1595872000,0.08,0.2684338
1596372000,0.1,0.26848054
1596872000,0.12,0.2685424
1597372000,0.1,0.2685891
1597872000,0.1,0.26863533
1598372000,0.1,0.26869747
1598872000,0.08,0.26875758
1599372000,0.1,0.26881772
1599872000,0.1,0.2688796
1600372000,0.1,0.26895663
1600872000,0.08,0.26903242
1601372000,0.08,0.2690948
1601872000,0.1,0.26914027
1602372000,0.08,0.2692183
1602872000,0.1,0.269264
1603372000,0.1,0.26931074
1603872000,0.08,0.2694976
1604372000,0.1,0.26943076
1604872000,0.1,0.26949212
