timestamp,defer_failsafes_timeout_s,disable_auto_disarm,defer_failsafes,disable_auto_set_home,source_type,source_id
842248000,0,0,0,0,0,0
842752000,0,0,0,0,0,0
843256000,0,0,0,0,0,0
843760000,0,0,0,0,0,0
844264000,0,0,0,0,0,0
844768000,0,0,0,0,0,0
845272000,0,0,0,0,0,0
845776000,0,0,0,0,0,0
846280000,0,0,0,0,0,0
846784000,0,0,0,0,0,0
847288000,0,0,0,0,0,0
847792000,0,0,0,0,0,0
848296000,0,0,0,0,0,0
848800000,0,0,0,0,0,0
849304000,0,0,0,0,0,0
849808000,0,0,0,0,0,0
850312000,0,0,0,0,0,0
850816000,0,0,0,0,0,0
851320000,0,0,0,0,0,0
851824000,0,0,0,0,0,0
852328000,0,0,0,0,0,0
852832000,0,0,0,0,0,0
853336000,0,0,0,0,0,0
853840000,0,0,0,0,0,0
854344000,0,0,0,0,0,0
854848000,0,0,0,0,0,0
855352000,0,0,0,0,0,0
855856000,0,0,0,0,0,0
856360000,0,0,0,0,0,0
856864000,0,0,0,0,0,0
857368000,0,0,0,0,0,0
857872000,0,0,0,0,0,0
858376000,0,0,0,0,0,0
858880000,0,0,0,0,0,0
859384000,0,0,0,0,0,0
859888000,0,0,0,0,0,0
860392000,0,0,0,0,0,0
860896000,0,0,0,0,0,0
861400000,0,0,0,0,0,0
861904000,0,0,0,0,0,0
862408000,0,0,0,0,0,0
862912000,0,0,0,0,0,0
863416000,0,0,0,0,0,0
863920000,0,0,0,0,0,0
864424000,0,0,0,0,0,0
864928000,0,0,0,0,0,0
865432000,0,0,0,0,0,0
865936000,0,0,0,0,0,0
866440000,0,0,0,0,0,0
866944000,0,0,0,0,0,0
867448000,0,0,0,0,0,0
867952000,0,0,0,0,0,0
868456000,0,0,0,0,0,0
868960000,0,0,0,0,0,0
869464000,0,0,0,0,0,0
869968000,0,0,0,0,0,0
870472000,0,0,0,0,0,0
870976000,0,0,0,0,0,0
871480000,0,0,0,0,0,0
871984000,0,0,0,0,0,0
872488000,0,0,0,0,0,0
872992000,0,0,0,0,0,0
873496000,0,0,0,0,0,0
874000000,0,0,0,0,0,0
874504000,0,0,0,0,0,0
875008000,0,0,0,0,0,0
875512000,0,0,0,0,0,0
876016000,0,0,0,0,0,0
876520000,0,0,0,0,0,0
877024000,0,0,0,0,0,0
877528000,0,0,0,0,0,0
878032000,0,0,0,0,0,0
878536000,0,0,0,0,0,0
879040000,0,0,0,0,0,0
879544000,0,0,0,0,0,0
880048000,0,0,0,0,0,0
880552000,0,0,0,0,0,0
881056000,0,0,0,0,0,0
881560000,0,0,0,0,0,0
882064000,0,0,0,0,0,0
882568000,0,0,0,0,0,0
883072000,0,0,0,0,0,0
883576000,0,0,0,0,0,0
884080000,0,0,0,0,0,0
884584000,0,0,0,0,0,0
885088000,0,0,0,0,0,0
885592000,0,0,0,0,0,0
886096000,0,0,0,0,0,0
886600000,0,0,0,0,0,0
887104000,0,0,0,0,0,0
887608000,0,0,0,0,0,0
888112000,0,0,0,0,0,0
