timestamp,safe_points_id,is_evaluation_pending,has_vtol_approach,rtl_type,safe_point_index
593632000,0,0,0,1,255
595648000,0,0,0,1,255
597664000,0,0,0,1,255
599680000,0,0,0,1,255
601696000,0,0,0,1,255
603712000,0,0,0,1,255
605728000,0,0,0,1,255
607744000,0,0,0,1,255
609760000,0,0,0,1,255
611776000,0,0,0,1,255
613792000,0,0,0,1,255
615808000,0,0,0,1,255
617824000,0,0,0,1,255
619840000,0,0,0,1,255
621856000,0,0,0,1,255
623872000,0,0,0,1,255
625888000,0,0,0,1,255
627904000,0,0,0,1,255
629920000,0,0,0,1,255
631936000,0,0,0,1,255
633952000,0,0,0,1,255
635968000,0,0,0,1,255
637984000,0,0,0,1,255
640000000,0,0,0,1,255
642016000,0,0,0,1,255
644032000,0,0,0,1,255
646048000,0,0,0,1,255
648064000,0,0,0,1,255
650080000,0,0,0,1,255
652096000,0,0,0,1,255
654112000,0,0,0,1,255
656128000,0,0,0,1,255
658144000,0,0,0,1,255
660160000,0,0,0,1,255
662176000,0,0,0,1,255
664192000,0,0,0,1,255
666208000,0,0,0,1,255
668224000,0,0,0,1,255
670240000,0,0,0,1,255
672256000,0,0,0,1,255
674272000,0,0,0,1,255
676288000,0,0,0,1,255
678304000,0,0,0,1,255
680320000,0,0,0,1,255
682336000,0,0,0,1,255
684352000,0,0,0,1,255
686368000,0,0,0,1,255
688384000,0,0,0,1,255
690400000,0,0,0,1,255
692416000,0,0,0,1,255
694432000,0,0,0,1,255
696448000,0,0,0,1,255
698464000,0,0,0,1,255
700480000,0,0,0,1,255
702496000,0,0,0,1,255
704512000,0,0,0,1,255
706528000,0,0,0,1,255
708544000,0,0,0,1,255
710560000,0,0,0,1,255
712576000,0,0,0,1,255
714592000,0,0,0,1,255
716608000,0,0,0,1,255
718624000,0,0,0,1,255
720640000,0,0,0,1,255
722656000,0,0,0,1,255
724672000,0,0,0,1,255
726688000,0,0,0,1,255
728704000,0,0,0,1,255
730720000,0,0,0,1,255
732736000,0,0,0,1,255
734752000,0,0,0,1,255
736768000,0,0,0,1,255
738784000,0,0,0,1,255
740800000,0,0,0,1,255
742816000,0,0,0,1,255
744832000,0,0,0,1,255
746848000,0,0,0,1,255
748864000,0,0,0,1,255
750880000,0,0,0,1,255
752896000,0,0,0,1,255
754912000,0,0,0,1,255
756928000,0,0,0,1,255
758944000,0,0,0,1,255
760960000,0,0,0,1,255
762976000,0,0,0,1,255
764992000,0,0,0,1,255
767008000,0,0,0,1,255
769024000,0,0,0,1,255
771040000,0,0,0,1,255
773056000,0,0,0,1,255
775072000,0,0,0,1,255
777088000,0,0,0,1,255
779104000,0,0,0,1,255
781120000,0,0,0,1,255
783136000,0,0,0,1,255
785152000,0,0,0,1,255
787168000,0,0,0,1,255
789184000,0,0,0,1,255
791200000,0,0,0,1,255
793216000,0,0,0,1,255
795232000,0,0,0,1,255
797248000,0,0,0,1,255
799264000,0,0,0,1,255
801280000,0,0,0,1,255
803296000,0,0,0,1,255
805312000,0,0,0,1,255
807328000,0,0,0,1,255
